PointName,Wind,Noise,Temp,distanceP1,distanceP2,distanceP3,distanceP4
BearPC01,1,2,20.13610243,65,90,85,85
BearPC01,1,2,20.13610243,20,90,85,85
BearPC01,1,2,20.13610243,20,NA,NA,NA
BearPC01,1,2,20.13610243,5,5,NA,NA
BearPC01,1,2,20.13610243,15,25,25,20
BearPC02,2,1,18.04511099,85,85,NA,NA
BearPC02,2,1,18.04511099,NA,70,70,NA
BearPC02,2,1,18.04511099,NA,70,NA,70
BearPC02,2,1,18.04511099,NA,NA,NA,75
BearPC02,2,1,18.04511099,25,25,25,25
BearPC02,2,1,18.04511099,35,NA,NA,NA
BearPC02,2,1,18.04511099,NA,NA,NA,95
BearPC03,0,0,19.81244259,NA,20,40,NA
BearPC03,0,0,19.81244259,NA,NA,NA,70
BearPC03,0,0,19.81244259,NA,55,55,NA
BearPC03,0,0,19.81244259,20,35,25,25
BearPC03,0,0,19.81244259,60,NA,60,60
BearPC03,0,0,19.81244259,NA,NA,65,NA
BearPC03,0,0,19.81244259,5,NA,5,5
BearPC04,2,1,18.45888426,25,25,25,25
BearPC04,2,1,18.45888426,50,50,50,50
BearPC04,2,1,18.45888426,NA,25,25,10
BearPC04,2,1,18.45888426,95,90,90,NA
BearPC04,2,1,18.45888426,80,80,NA,NA
BearPC04,2,1,18.45888426,65,65,65,NA
BearPC04,2,1,18.45888426,20,20,5,5
BearPC04,2,1,18.45888426,75,NA,NA,NA
BearPC04,2,1,18.45888426,NA,NA,NA,55
BearPC04,2,1,18.45888426,20,20,20,20
BearPC04,2,1,18.45888426,NA,55,55,NA
BearPC04,2,1,18.45888426,15,15,25,25
BearPC04,2,1,18.45888426,50,50,50,50
BearPC04,2,1,18.45888426,NA,NA,NA,10
BearPC04,2,1,18.45888426,75,90,90,70
BearPC04,2,1,18.45888426,40,80,100,NA